Zip,County,City,lat,lon,Zhvi
90029,Los Angeles County,Los Angeles,34.090259,-118.29455,945200
90065,Los Angeles County,Los Angeles,34.107559,-118.22663,813900
91606,Los Angeles County,Los Angeles,34.185698,-118.38836,642000
90291,Los Angeles County,Los Angeles,33.992411,-118.46531,1927900
91423,Los Angeles County,Los Angeles,34.153628,-118.43222,1109500
90501,Los Angeles County,Torrance,33.828766,-118.31367,695300
90723,Los Angeles County,Paramount,33.899915,-118.16231,436100
90292,Los Angeles County,Los Angeles,33.976373,-118.45458,1100600
90069,Los Angeles County,West Hollywood,34.090975,-118.3813,1021100
91732,Los Angeles County,El Monte,34.070659,-118.01383,504400
90262,Los Angeles County,Lynwood,33.924642,-118.20186,441900
90241,Los Angeles County,Downey,33.942289,-118.12901,612100
90405,Los Angeles County,Santa Monica,34.009276,-118.47286,1731400
90740,Orange County,Seal Beach,33.759283,-118.08239,1004800
90638,Los Angeles County,La Mirada,33.90213,-118.00966,585000
90008,Los Angeles County,Los Angeles,34.009754,-118.33705,874400
91401,Los Angeles County,Los Angeles,34.176505,-118.43308,798600
92821,Orange County,Brea,33.923463,-117.89559,710800
92840,Orange County,Garden Grove,33.785166,-117.93406,611000
90266,Los Angeles County,Manhattan Beach,33.88898,-118.40535,2415100
91205,Los Angeles County,Glendale,34.138514,-118.243,697400
91767,Los Angeles County,Pomona,34.080143,-117.73861,434100
92705,Orange County,North Tustin,33.762117,-117.81828,944000
91604,Los Angeles County,Los Angeles,34.143856,-118.39429,1359800
92649,Orange County,Huntington Beach,33.720017,-118.04614,815000
90505,Los Angeles County,Torrance,33.810848,-118.35096,955200
90808,Los Angeles County,Long Beach,33.823316,-118.11329,697100
90403,Los Angeles County,Santa Monica,34.032159,-118.49022,1425300
91387,Los Angeles County,Santa Clarita,34.421537,-118.419181,559200
92612,Orange County,Irvine,33.650813,-117.81771,725300
90744,Los Angeles County,Los Angeles,33.784018,-118.25897,473800
91748,Los Angeles County,Rowland Heights,33.985012,-117.89705,649100
91306,Los Angeles County,Los Angeles,34.209407,-118.57735,579200
90035,Los Angeles County,Los Angeles,34.05266,-118.38531,1454200
91607,Los Angeles County,Los Angeles,34.165706,-118.39986,904800
91311,Los Angeles County,Los Angeles,34.259052,-118.59426,646400
90007,Los Angeles County,Los Angeles,34.026448,-118.2829,677300
90012,Los Angeles County,Los Angeles,34.061611,-118.23944,581300
92703,Orange County,Santa Ana,33.747067,-117.90433,536800
90048,Los Angeles County,Los Angeles,34.073759,-118.37376,1841800
92707,Orange County,Santa Ana,33.719118,-117.87143,541400
90620,Orange County,Buena Park,33.841014,-118.00969,598700
91505,Los Angeles County,Burbank,34.166906,-118.34366,798300
92867,Orange County,Orange,33.811566,-117.82919,737500
90068,Los Angeles County,Los Angeles,34.122058,-118.3379,1448300
91107,Los Angeles County,Pasadena,34.151066,-118.08974,915200
91750,Los Angeles County,La Verne,34.117047,-117.77097,647300
90032,Los Angeles County,Los Angeles,34.08166,-118.17568,627000
91206,Los Angeles County,Glendale,34.156674,-118.22937,862300
90807,Los Angeles County,Long Beach,33.828366,-118.18235,649100
92806,Orange County,Anaheim,33.835465,-117.87362,642800
92831,Orange County,Fullerton,33.878981,-117.89325,657100
90033,Los Angeles County,Los Angeles,34.050411,-118.21195,493500
90063,Los Angeles County,East Los Angeles,34.045161,-118.1865,490400
90001,Los Angeles County,Florence-Graham,33.972914,-118.24878,393300
